Horodatage,Caméra,Scénario,Catégorie,Type d'objet,Nombre
25/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
25/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
25/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,34
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,2
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
24/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,2
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,21
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
24/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,43
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,17
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
23/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,27
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,1
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,26
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,2
23/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,105
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,74
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,3
22/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,73
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,30
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,1
21/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,59
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,1
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,13
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
20/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,32
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,38
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
20/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,69
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,15
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
19/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,79
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,10
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
19/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,31
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,23
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
18/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,91
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,133
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
18/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,42
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,15
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
17/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,38
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,19
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,1
17/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,58
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,4
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
16/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,5
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,14
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
16/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,27
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,15
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,1
15/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,41
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule léger,18
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,véhicule intermédiaire,0
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,poids lourd,0
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,bus,0
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,vélo,0
15/05/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,personne,30
14/06/2024 00:00:00,D04 - rue V40-V50,Entree V40-V50,Barrière à sens unique,moto,0
